fecha,moneda,pais,compra_bs,venta_bs,fuente,origen_fecha
2025-01-16,TRY,Turquia,1.52929747,1.5331303,2_1_2a25_smc.xls,fecha_valor
2025-01-16,TTD,Trinidad y Tobago,8.15921354,8.17966269,2_1_2a25_smc.xls,fecha_valor
2025-01-16,USD,E.U.A.,54.2334765,54.3694,2_1_2a25_smc.xls,fecha_valor
2025-01-16,UYU,Uruguay,1.24664341,1.24976783,2_1_2a25_smc.xls,fecha_valor
2025-01-17,ANG,Curazao,31.12782083,31.20583542,2_1_2a25_smc.xls,fecha_valor
2025-01-17,ARS,Argentina,0.05247175,0.05260326,2_1_2a25_smc.xls,fecha_valor
2025-01-17,BOB,Bolivia,7.96255102,7.98250728,2_1_2a25_smc.xls,fecha_valor
2025-01-17,BRL,Brasil,9.07827951,9.10103209,2_1_2a25_smc.xls,fecha_valor
2025-01-17,CAD,Canada,37.96935931,38.06452061,2_1_2a25_smc.xls,fecha_valor
2025-01-17,CLP,Chile,0.05409191,0.05422748,2_1_2a25_smc.xls,fecha_valor
2025-01-17,CNY,China,7.45087367,7.46954754,2_1_2a25_smc.xls,fecha_valor
2025-01-17,COP,Colombia,0.01259031,0.01262187,2_1_2a25_smc.xls,fecha_valor
2025-01-17,CUC,Cuba,54.6231,54.76,2_1_2a25_smc.xls,fecha_valor
2025-01-17,DOP,Republica Dominicana,0.89399509,0.89623567,2_1_2a25_smc.xls,fecha_valor
2025-01-17,EUR,Zona Euro,56.13943725,56.2801376,2_1_2a25_smc.xls,fecha_valor
2025-01-17,INR,India,0.63089743,0.63247863,2_1_2a25_smc.xls,fecha_valor
2025-01-17,JPY,Japon,0.34992825,0.35080526,2_1_2a25_smc.xls,fecha_valor
2025-01-17,MXP,Mexico,2.63314918,2.63974855,2_1_2a25_smc.xls,fecha_valor
2025-01-17,NIO,Nicaragua,1.50313709,1.50690435,2_1_2a25_smc.xls,fecha_valor
2025-01-17,PEN,Perú,14.51275306,14.54912588,2_1_2a25_smc.xls,fecha_valor
2025-01-17,RUB,Rusia,0.53327247,0.534609,2_1_2a25_smc.xls,fecha_valor
2025-01-17,TRY,Turquia,1.54175108,1.54561512,2_1_2a25_smc.xls,fecha_valor
2025-01-17,TTD,Trinidad y Tobago,8.09219122,8.1124724,2_1_2a25_smc.xls,fecha_valor
2025-01-17,USD,E.U.A.,54.6231,54.76,2_1_2a25_smc.xls,fecha_valor
2025-01-17,UYU,Uruguay,1.24250716,1.24562121,2_1_2a25_smc.xls,fecha_valor
